state,category,date,disaster,disaster_info,designated_area,severity,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres
TX,FM,2000-01-03,Fire,Saddleback Fire,Wise (County),0.0,15.5,9.4,21.1,0.0,0.0,294.0,17.3,1012.8
TX,FM,2000-01-04,Fire,Purgatory Fire,Comal (County),0.0,6.1,-0.6,12.2,0.0,0.0,,13.7,1030.2
TX,FM,2000-01-05,Fire,Bob's Trail Fire,Bastrop (County),0.0,6.1,-3.4,15.0,0.0,0.0,,9.0,1025.3
KY,DR,2000-01-10,Tornado,"Tornadoes, Severe Storms, Torrential Rains, And Flash Flooding",Ballard (County),0.5,8.9,4.4,13.3,0.0,0.0,198.0,25.6,1002.9
KY,DR,2000-01-10,Tornado,"Tornadoes, Severe Storms, Torrential Rains, And Flash Flooding",Breckinridge (County),0.5,8.9,4.4,13.3,0.0,0.0,198.0,25.6,1002.9
KY,DR,2000-01-10,Tornado,"Tornadoes, Severe Storms, Torrential Rains, And Flash Flooding",Carlisle (County),0.5,8.9,4.4,13.3,0.0,0.0,198.0,25.6,1002.9
KY,DR,2000-01-10,Tornado,"Tornadoes, Severe Storms, Torrential Rains, And Flash Flooding",Livingston (County),0.5,8.9,4.4,13.3,0.0,0.0,198.0,25.6,1002.9
KY,DR,2000-01-10,Tornado,"Tornadoes, Severe Storms, Torrential Rains, And Flash Flooding",Spencer (County),0.5,8.9,4.4,13.3,0.0,0.0,198.0,25.6,1002.9
KY,DR,2000-01-10,Tornado,"Tornadoes, Severe Storms, Torrential Rains, And Flash Flooding",Hancock (County),0.5,8.9,4.4,13.3,0.0,0.0,198.0,25.6,1002.9
KY,DR,2000-01-10,Tornado,"Tornadoes, Severe Storms, Torrential Rains, And Flash Flooding",Henderson (County),0.5,8.9,4.4,13.3,0.0,0.0,198.0,25.6,1002.9
KY,DR,2000-01-10,Tornado,"Tornadoes, Severe Storms, Torrential Rains, And Flash Flooding",Crittenden (County),0.5,8.9,4.4,13.3,0.0,0.0,198.0,25.6,1002.9
KY,DR,2000-01-10,Tornado,"Tornadoes, Severe Storms, Torrential Rains, And Flash Flooding",Daviess (County),0.5,8.9,4.4,13.3,0.0,0.0,198.0,25.6,1002.9
KY,DR,2000-01-10,Tornado,"Tornadoes, Severe Storms, Torrential Rains, And Flash Flooding",Hopkins (County),0.5,8.9,4.4,13.3,0.0,0.0,198.0,25.6,1002.9
KY,DR,2000-01-10,Tornado,"Tornadoes, Severe Storms, Torrential Rains, And Flash Flooding",Webster (County),0.5,8.9,4.4,13.3,0.0,0.0,198.0,25.6,1002.9
NV,FM,2000-01-13,Fire,Nv - Spring Creek Fire - 1999,Elko (County),0.0,11.0,4.3,17.6,0.0,0.0,,6.8,1025.0
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Banks (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Barrow (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Bartow (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Butts (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Carroll (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Catoosa (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Chattooga (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Cherokee (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Clarke (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Cobb (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Dawson (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,DeKalb (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Douglas (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Elbert (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Fannin (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Floyd (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Forsyth (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Franklin (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Fulton (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Gilmer (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Gordon (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Greene (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Gwinnett (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Habersham (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
GA,DR,2000-01-28,Severe Storm,Severe Winter Storm,Hall (County),1.0,1.7,-0.0,3.3,0.5,0.0,85.0,19.8,1030.9
